inventory_hostname|ansible_host|tier|service_name|real_hostname|os|version|hardening_index|tests_done|warnings|suggestions|status|notes
af-api-gw-in-01|10.44.10.11|API Gateway|api-gateway-inbound|af-api-gw-in-01.atlasforge.example|Rocky|9.4|78|265|0|20|OK|Synthetic Lynis-like training evidence
af-api-gw-in-02|10.44.10.12|API Gateway|api-gateway-inbound|af-api-gw-in-02.atlasforge.example|Rocky|9.4|79|266|1|23|OK|Synthetic Lynis-like training evidence
af-api-gw-out-01|10.44.10.13|API Gateway|api-gateway-outbound|af-api-gw-out-01.atlasforge.example|Rocky|9.4|80|267|2|26|OK|Synthetic Lynis-like training evidence
af-api-gw-out-02|10.44.10.14|API Gateway|api-gateway-outbound|af-api-gw-out-02.atlasforge.example|Rocky|9.4|81|268|3|29|OK|Synthetic Lynis-like training evidence
af-web-prd-01|10.44.10.21|Web Tier|web-frontend-prd|af-web-prd-01.atlasforge.example|Rocky|9.4|82|269|0|32|OK|Synthetic Lynis-like training evidence
af-web-prd-02|10.44.10.22|Web Tier|web-frontend-prd|af-web-prd-02.atlasforge.example|Rocky|9.4|83|270|1|35|OK|Synthetic Lynis-like training evidence
af-api-core-prd-01|10.44.10.31|Application API|core-api-prd|af-api-core-prd-01.atlasforge.example|Rocky|9.4|84|271|2|22|OK|Synthetic Lynis-like training evidence
af-api-core-prd-02|10.44.10.32|Application API|core-api-prd|af-api-core-prd-02.atlasforge.example|Rocky|9.4|78|272|3|25|OK|Synthetic Lynis-like training evidence
af-api-payment-prd-01|10.44.10.33|Application API|payment-api-prd|af-api-payment-prd-01.atlasforge.example|Rocky|9.4|79|273|0|28|OK|Synthetic Lynis-like training evidence
af-api-identity-prd-01|10.44.10.34|Application API|identity-api-prd|af-api-identity-prd-01.atlasforge.example|Rocky|9.4|80|265|1|31|OK|Synthetic Lynis-like training evidence
af-db-proxy-01|10.44.10.41|DB Access|database-access-proxy|af-db-proxy-01.atlasforge.example|Rocky|9.4|81|266|2|34|OK|Synthetic Lynis-like training evidence
af-db-proxy-02|10.44.10.42|DB Access|database-access-proxy|af-db-proxy-02.atlasforge.example|Rocky|9.4|82|267|3|21|OK|Synthetic Lynis-like training evidence
af-rmq-01|10.44.10.51|Messaging Cache|rabbitmq|af-rmq-01.atlasforge.example|Rocky|9.4|83|268|0|24|OK|Synthetic Lynis-like training evidence
af-rmq-02|10.44.10.52|Messaging Cache|rabbitmq|af-rmq-02.atlasforge.example|Rocky|9.4|84|269|1|27|OK|Synthetic Lynis-like training evidence
af-redis-01|10.44.10.53|Messaging Cache|redis-cache|af-redis-01.atlasforge.example|Rocky|9.4|78|270|2|30|OK|Synthetic Lynis-like training evidence
af-gitlab-01|10.44.10.61|DevOps Platform|gitlab|af-gitlab-01.atlasforge.example|Rocky|9.4|79|271|3|33|OK|Synthetic Lynis-like training evidence
af-gitlab-runner-01|10.44.10.62|DevOps Platform|gitlab-runner|af-gitlab-runner-01.atlasforge.example|Rocky|9.4|80|272|0|20|OK|Synthetic Lynis-like training evidence
af-nexus-01|10.44.10.63|DevOps Platform|nexus|af-nexus-01.atlasforge.example|Rocky|9.4|81|273|1|23|OK|Synthetic Lynis-like training evidence
af-monitor-01|10.44.10.71|Observability|monitoring-stack|af-monitor-01.atlasforge.example|Rocky|9.4|82|265|2|26|OK|Synthetic Lynis-like training evidence
