inventory_hostname|ansible_host|service_name|real_hostname|os|version|scope|hub_hosts_entry|git_hosts_entry|package_manager|external_repo_refs|time_service|time_sync|chrony_source|selinux|firewalld|firewall_control|docker|final_status|notes
af-api-gw-out-01|10.44.20.11|api-gateway-outbound|af-api-gw-out-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-gw-out-02|10.44.20.12|api-gateway-outbound|af-api-gw-out-02.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-gw-out-03|10.44.20.13|api-gateway-outbound|af-api-gw-out-03.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-gw-in-01|10.44.20.21|api-gateway-inbound|af-api-gw-in-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-gw-in-02|10.44.20.22|api-gateway-inbound|af-api-gw-in-02.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-gw-in-03|10.44.20.23|api-gateway-inbound|af-api-gw-in-03.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-app-dev-01|10.44.20.31|application-dev|af-app-dev-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-app-stg-01|10.44.20.32|application-staging|af-app-stg-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-app-prd-01|10.44.20.33|application-production|af-app-prd-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-gitlab-01|10.44.30.11|gitlab-server|af-gitlab-01.atlasforge.example|Rocky|9.4|Platform|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|inactive|ACCEPTED_EXCEPTION|active|OK|SOC-approved operational exception documented for Docker/firewalld design review
af-gitlab-runner-01|10.44.30.12|gitlab-runner|af-gitlab-runner-01.atlasforge.example|Rocky|9.4|Platform|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|inactive|ACCEPTED_EXCEPTION|active|OK|SOC-approved operational exception documented for Docker/firewalld design review
af-nexus-01|10.44.30.13|artifact-repository|af-nexus-01.atlasforge.example|Rocky|9.4|Platform|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-push-01|10.44.30.21|push-service|af-push-01.atlasforge.example|Ubuntu|22.04|Ubuntu Exception|yes|yes|apt|0|systemd-timesyncd+chrony-client|yes|ntp01.atlasforge.example|NotApplicable|ufw-managed|UBUNTU_EXCEPTION|active|OK|Ubuntu exception host tracked outside Rocky SELinux/firewalld baseline
af-pwa-01|10.44.20.41|pwa-service|af-pwa-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-payment-dev-01|10.44.20.51|payment-dev|af-payment-dev-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-payment-stg-01|10.44.20.52|payment-staging|af-payment-stg-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-payment-prd-01|10.44.20.53|payment-production|af-payment-prd-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-vehicle-01|10.44.20.61|vehicle-service|af-vehicle-01.atlasforge.example|Ubuntu|22.04|Ubuntu Exception|yes|yes|apt|0|systemd-timesyncd+chrony-client|yes|ntp01.atlasforge.example|NotApplicable|ufw-managed|UBUNTU_EXCEPTION|active|OK|Ubuntu exception host tracked outside Rocky SELinux/firewalld baseline
af-services-01|10.44.20.62|shared-services|af-services-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-sentry-01|10.44.40.11|sentry-observability|af-sentry-01.atlasforge.example|Ubuntu|22.04|Ubuntu Exception|yes|yes|apt|0|systemd-timesyncd+chrony-client|yes|ntp01.atlasforge.example|NotApplicable|ufw-managed|UBUNTU_EXCEPTION|active|OK|Ubuntu exception host tracked outside Rocky SELinux/firewalld baseline
af-hub-01|10.44.30.31|container-registry|af-hub-01.atlasforge.example|Rocky|9.4|Platform|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
af-api-common-01|10.44.20.71|api-common|af-api-common-01.atlasforge.example|Rocky|9.4|Application|yes|yes|dnf|0|chronyd|yes|ntp01.atlasforge.example|Enforcing|active|OK|active|OK|All baseline controls passed in synthetic evidence set
