inventory_hostname|ansible_host|tier|service_name|package_manager|external_repo_refs|approved_internal_repo|status|notes
af-api-gw-in-01|10.44.10.11|API Gateway|api-gateway-inbound|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-gw-in-02|10.44.10.12|API Gateway|api-gateway-inbound|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-gw-out-01|10.44.10.13|API Gateway|api-gateway-outbound|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-gw-out-02|10.44.10.14|API Gateway|api-gateway-outbound|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-web-prd-01|10.44.10.21|Web Tier|web-frontend-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-web-prd-02|10.44.10.22|Web Tier|web-frontend-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-web-legacy-01|10.44.10.23|Web Tier|web-frontend-legacy|apt|0|apt-mirror.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-core-prd-01|10.44.10.31|Application API|core-api-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-core-prd-02|10.44.10.32|Application API|core-api-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-payment-prd-01|10.44.10.33|Application API|payment-api-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-identity-prd-01|10.44.10.34|Application API|identity-api-prd|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-api-notification-legacy-01|10.44.10.35|Application API|notification-api-legacy|apt|0|apt-mirror.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-db-proxy-01|10.44.10.41|DB Access|database-access-proxy|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-db-proxy-02|10.44.10.42|DB Access|database-access-proxy|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-rmq-01|10.44.10.51|Messaging Cache|rabbitmq|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-rmq-02|10.44.10.52|Messaging Cache|rabbitmq|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-redis-01|10.44.10.53|Messaging Cache|redis-cache|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-gitlab-01|10.44.10.61|DevOps Platform|gitlab|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-gitlab-runner-01|10.44.10.62|DevOps Platform|gitlab-runner|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-nexus-01|10.44.10.63|DevOps Platform|nexus|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-monitor-01|10.44.10.71|Observability|monitoring-stack|dnf|0|nexus.atlasforge.example|OK|No external repository references found in synthetic evidence.
af-log-legacy-01|10.44.10.72|Observability|legacy-logging|apt|0|apt-mirror.atlasforge.example|OK|No external repository references found in synthetic evidence.
